date,comp,team,opponent,minute,outcome,gx,gy,technique,source,confidence,source_url
2026-06-22,WCP,Argentina,Austria,9,missed,1.049,0.045,stutter,manual_tag,verified,https://www.youtube.com/watch?v=SllfQUDS6UU
2026-06-09,FRN,Argentina,Iceland,72,scored,0.664,0.837,,manual_tag,verified,https://www.youtube.com/watch?v=eDXbHKF5VaY
2026-04-18,MLS,Miami,Colorado Rapids,18,scored,0.386,0.04,,manual_tag,verified,https://www.youtube.com/watch?v=oOsLNgDVQ6g
2025-10-19,MLS,Miami,Nashville SC,63,scored,0.326,0.028,,manual_tag,verified,https://youtu.be/yhhtOVbiQsI?si=WDPnSXtmnvSJOE9k&t=295
2025-09-13,MLS,Miami,Charlotte FC,32,missed,0.292,0.679,panenka,manual_tag,verified,https://www.youtube.com/watch?v=OwPz6JTn5-0
2025-08-27,NAM,Miami,Orlando City,77,scored,0.865,0.336,,manual_tag,verified,https://www.youtube.com/watch?v=oel4SaTvkIM
2025-04-09,NAM,Miami,Los Angeles FC,84,scored,0.835,0.512,,manual_tag,verified,https://www.youtube.com/watch?v=GtMj0fUVHn4
2024-04-20,MLS,Miami,Nashville SC,81,scored,0.862,0.141,standard,manual_tag,verified,https://www.youtube.com/watch?v=P8kxJRoYsfo
2022-12-18,WCP,Argentina,France,23,scored,0.754,0.124,stutter,manual_tag,verified,https://www.youtube.com/watch?v=Mxkg3qLIPC8
2022-12-13,WCP,Argentina,Croatia,34,scored,0.25,0.15,standard,auto_estimate,med,https://youtu.be/cQWYYQkZKSE?t=30
2022-12-09,WCP,Argentina,Netherlands,73,scored,0.8,0.15,standard,auto_estimate,med,https://youtu.be/0i-gsQJg7jc?t=51
2022-11-30,WCP,Argentina,Poland,38,missed,,,,unplaced,,
2022-11-22,WCP,Argentina,Saudi Arabia,10,scored,0.3,0.2,standard,auto_estimate,low,https://youtu.be/8Q-imks2lDU?t=6
2022-09-23,FRN,Argentina,Honduras,45,scored,0.65,0.2,standard,auto_estimate,low,https://youtu.be/xOYtffBcyjg?t=6
2022-06-05,FRN,Argentina,Estonia,8,scored,,,,unplaced,,
2022-02-15,EUR,PSG,Real Madrid,61,missed,0.25,0.15,standard,auto_estimate,med,https://youtu.be/5XKhCJgZBvg?t=24
2021-12-07,EUR,PSG,Club Brugge,76,scored,0.25,0.15,standard,auto_estimate,med,https://youtu.be/WqHAoD-AbWM?t=9
2021-10-19,EUR,PSG,RB Leipzig,74,scored,0.5,0.3,standard,auto_estimate,low,https://youtu.be/lbyCgQxw7gM?t=12
2021-06-28,CPA,Argentina,Bolivia,33,scored,0.3,0.2,standard,auto_estimate,low,https://youtu.be/iYWThZVTuXY?t=9
2021-06-04,WCQ,Argentina,Chile,23,scored,0.8,0.1,standard,auto_estimate,high,https://youtu.be/W5P-VNdk8y8?t=21
2021-05-02,PRM,Barcelona,Valencia,56,missed,0.825,0.0,Normal,statsbomb_measured,verified,
2021-03-10,EUR,Barcelona,PSG,45,missed,,,,unplaced,,
2021-02-21,PRM,Barcelona,Cádiz,31,scored,0.875,0.262,Normal,statsbomb_measured,verified,
2021-02-16,EUR,Barcelona,PSG,28,scored,,,,unplaced,,
2020-12-19,PRM,Barcelona,Valencia,48,missed,0.8,0.375,Normal,statsbomb_measured,verified,
2020-11-07,PRM,Barcelona,Real Betis,60,scored,0.088,0.861,Normal,statsbomb_measured,verified,
2020-11-04,EUR,Barcelona,Dynamo Kyiv,5,scored,0.65,0.1,standard,auto_estimate,low,https://youtu.be/bG7BOuKSj4E?t=3
2020-10-28,EUR,Barcelona,Juventus,90,scored,0.3,0.2,standard,auto_estimate,low,https://youtu.be/LKW8BwuzVYg?t=6
2020-10-20,EUR,Barcelona,Ferencvaros,27,scored,0.7,0.15,standard,auto_estimate,low,https://youtu.be/MLn1Tp-3aok?t=21
2020-10-09,WCQ,Argentina,Ecuador,13,scored,0.78,0.15,standard,auto_estimate,med,https://youtu.be/tl_eVzHmOhM?t=33
2020-09-27,PRM,Barcelona,Villarreal,34,scored,0.875,0.075,Normal,statsbomb_measured,verified,
2020-06-30,PRM,Barcelona,Atlético Madrid,49,scored,0.8,0.412,Normal,statsbomb_measured,verified,
2020-06-16,PRM,Barcelona,Leganés,68,scored,0.05,0.3,Normal,statsbomb_measured,verified,
2020-03-07,PRM,Barcelona,Real Sociedad,80,scored,0.088,0.412,Normal,statsbomb_measured,verified,
2019-11-18,FRN,Argentina,Uruguay,90,scored,0.2,0.15,standard,auto_estimate,med,https://youtu.be/EkaEo35hHRI?t=9
2019-11-15,FRN,Argentina,Brazil,13,missed,0.7,0.15,standard,auto_estimate,med,https://youtu.be/mB-D1lOZB8g?t=51
2019-11-09,PRM,Barcelona,Celta Vigo,22,scored,0.938,0.0,Normal,statsbomb_measured,verified,
2019-11-02,PRM,Barcelona,Levante UD,37,scored,0.2,0.749,Normal,statsbomb_measured,verified,
2019-06-19,CPA,Argentina,Paraguay,57,scored,0.25,0.35,standard,auto_estimate,med,https://youtu.be/Rps0R5fhdII?t=0
2019-03-13,EUR,Barcelona,Olympique Lyonnais,18,scored,0.5,0.35,panenka,auto_estimate,high,https://youtu.be/LCMO68SGozk?t=18
2019-03-09,PRM,Barcelona,Rayo Vallecano,50,scored,0.112,0.075,Normal,statsbomb_measured,verified,
2019-02-16,PRM,Barcelona,Real Valladolid,84,missed,0.112,0.225,Normal,statsbomb_measured,verified,
2019-02-16,PRM,Barcelona,Real Valladolid,42,scored,0.05,0.075,Normal,statsbomb_measured,verified,
2019-02-02,PRM,Barcelona,Valencia,38,scored,0.287,0.075,Normal,statsbomb_measured,verified,
2018-11-11,PRM,Barcelona,Real Betis,67,scored,0.125,0.787,Normal,statsbomb_measured,verified,
2018-06-16,WCP,Argentina,Iceland,64,missed,0.25,0.2,standard,auto_estimate,med,https://youtu.be/PTYRyZlf9mo?t=3
2018-05-29,FRN,Argentina,Haiti,17,scored,0.7,0.2,standard,auto_estimate,low,https://youtu.be/KS9syg_jJrI?t=12
2018-01-17,CUP,Barcelona,Espanyol,62,missed,0.3,0.2,standard,auto_estimate,low,https://youtu.be/sOMZQJ-SDhQ?t=33
2017-12-23,PRM,Barcelona,Real Madrid,63,scored,0.275,0.599,Normal,statsbomb_measured,verified,
2017-12-17,PRM,Barcelona,RC Deportivo La Coruña,69,missed,0.15,0.524,Normal,statsbomb_measured,verified,
2017-09-19,PRM,Barcelona,Eibar,20,scored,0.888,0.599,Normal,statsbomb_measured,verified,
2017-08-26,PRM,Barcelona,Deportivo Alavés,38,missed,0.888,0.412,Normal,statsbomb_measured,verified,
2017-08-13,SUP,Barcelona,Real Madrid,76,scored,0.7,0.2,standard,auto_estimate,med,https://youtu.be/vATdS7gDf5s?t=10
2017-05-21,PRM,Barcelona,Eibar,74,scored,0.037,0.487,Normal,statsbomb_measured,verified,
2017-05-21,PRM,Barcelona,Eibar,69,missed,0.338,0.337,Normal,statsbomb_measured,verified,
2017-05-06,PRM,Barcelona,Villarreal,81,scored,0.362,0.824,Normal,statsbomb_measured,verified,
2017-03-23,WCQ,Argentina,Chile,16,scored,,,,unplaced,,
2017-03-19,PRM,Barcelona,Valencia,44,scored,0.5,0.075,Normal,statsbomb_measured,verified,
